,indice,unigrama_pos,unigrama_neg,bigrama_pos,bigrama_neg
0,1,"('covid', 1973)","('covid', 1649)","('covid 19', 1183)","('covid 19', 898)"
1,2,"('coronavirus', 1447)","('coronavirus', 1504)","('coronavirus ', 211)","('coronavirus ', 203)"
2,3,"('19', 1207)","('19', 903)","('covid_19 ', 158)","('rechazo rechazo', 121)"
3,4,"('covid_19', 704)","('gobierno', 646)","('19 ', 147)","('19 ', 120)"
4,5,"('si', 506)","('pandemia', 582)","('cuidémonosentretodos ', 98)","('covid_19 ', 96)"
5,6,"('chile', 456)","('si', 514)","('chile ', 87)","(' coronavirus', 89)"
6,7,"('salud', 455)","('q', 497)","('bono covid', 84)","(' si', 76)"
7,8,"('casa', 346)","('virus', 486)","(' hoy', 83)","('pandemia coronavirus', 65)"
8,9,"('trabajo', 342)","('covid_19', 440)","('medidas prevención', 82)","('pandemia covid', 61)"
9,10,"('q', 337)","('chile', 423)","('covid ', 81)","('covid ', 58)"
10,11,"('hacer', 330)","('crisis', 309)","(' atención', 74)","(' gobierno', 58)"
11,12,"('hoy', 324)","('gente', 278)","('vacuna covid', 71)","('vía ', 58)"
12,13,"('cuarentena', 307)","('caso', 270)","(' si', 64)","('pandemia ', 54)"
13,14,"('medidas', 304)","('peor', 248)","(' ahora', 62)","('chile ', 51)"
14,15,"('información', 291)","('contagio', 236)","('casos covid', 51)","('coronavirus chile', 47)"
15,16,"('prevención', 264)","('mal', 230)","('quedateencasa ', 51)","('mundo coronavirus', 47)"
16,17,"('familia', 253)","('personas', 225)","(' coronavirus', 44)","(' bbc', 46)"
17,18,"('vacuna', 239)","('ahora', 211)","('búsqueda activa', 42)","('contagio covid', 46)"
18,19,"('atención', 237)","('salud', 205)","('ministerio salud', 41)","(' covid', 42)"
19,20,"('ahora', 230)","('ser', 199)","('prevención covid', 39)","('crisis covid', 41)"
20,21,"('casos', 230)","('cuarentena', 199)","('vacuna coronavirus', 39)","('bbc mundo', 40)"
21,22,"('ayuda', 222)","('rechazo', 195)","('nuevos casos', 38)","('crisis coronavirus', 40)"
22,23,"('personas', 218)","('hoy', 187)","('autoridad sanitaria', 38)","(' hoy', 40)"
23,24,"('presidente', 205)","('país', 176)","('vía ', 38)","('contagio coronavirus', 37)"
24,25,"('importante', 188)","('hace', 164)","(' covid', 37)","('virus ', 34)"
25,26,"('quedateencasa', 183)","('solo', 162)","('seremi salud', 36)","('crisis sanitaria', 33)"
26,27,"('entrega', 179)","('riesgo', 158)","(' presidente', 36)","('estallido social', 32)"
27,28,"('mayor', 177)","('va', 158)","('jefe defensa', 35)","('quedateencasa ', 32)"
28,29,"('día', 175)","('d', 155)","('prevención coronavirus', 32)","('corona virus', 31)"
29,30,"('solo', 166)","('miedo', 154)","('covid navidad', 32)","('evitar contagio', 30)"
30,31,"('ser', 165)","('puede', 154)","(' bueno', 32)","('x covid', 29)"
31,32,"('cuidémonosentretodos', 164)","('así', 153)","('toque queda', 32)","('crisis económica', 28)"
32,33,"('país', 158)","('mierda', 152)","('adultos mayores', 31)","('pandemia covid_19', 28)"
33,34,"('gente', 156)","('piñera', 151)","('coronavirus chile', 31)","('bono covid', 28)"
34,35,"('alcalde', 154)","('situación', 149)","('tiempos covid', 31)","(' chile', 27)"
35,36,"('comunidad', 151)","('evitar', 145)","('colegio médico', 30)","('riesgo contagio', 27)"
36,37,"('junto', 149)","('mundo', 143)","('plancoronavirus ', 30)","('puede ser', 27)"
37,38,"('gracias', 145)","('x', 142)","(' importante', 30)","('1 caso', 27)"
38,39,"('marzo', 145)","('muerte', 140)","('nuevas medidas', 30)","('covid_19 coronavirus', 26)"
39,40,"('forma', 144)","('social', 137)","('salud ', 29)","('adultos mayores', 26)"
40,41,"('bono', 137)","('salir', 134)","('positivo covid', 29)","('virus covid', 26)"
41,42,"('así', 137)","('enfermedad', 132)","('información ', 28)","(' ahora', 26)"
42,43,"('médico', 135)","('casos', 127)","('contagio coronavirus', 28)","('tic tac', 26)"
43,44,"('mundo', 130)","('años', 125)","('covid19 coronavirus', 27)","('examen covid', 24)"
44,45,"('covid19', 124)","('1', 122)","('pacientes covid', 27)","('primer caso', 24)"
45,46,"('días', 124)","('medidas', 121)","('control sanitario', 27)","('caso coronavirus', 24)"
46,47,"('puede', 124)","('días', 120)","('crédito covid', 27)","('tac tic', 23)"
47,48,"('verdad', 123)","('falta', 114)","(' hola', 26)","('mierda ', 22)"
48,49,"('nuevo', 120)","('2', 114)","('coronavirus covid19', 26)","(' así', 21)"
49,50,"('seremi', 118)","('examen', 111)","('prevención contagio', 26)","('cuarentena total', 21)"
