,hashtag
0,"('', 50635)"
1,"(""'coronavirus'"", 17456)"
2,"(""'covid_19'"", 15381)"
3,"(""'quedateencasa'"", 4084)"
4,"(""'chile'"", 3436)"
5,"(""'covid19'"", 2489)"
6,"(""'cuidémonosentretodos'"", 2396)"
7,"(""'cuarentena'"", 2321)"
8,"(""'covid'"", 1865)"
9,"(""'covid__19'"", 1722)"
10,"(""'covidー19'"", 1598)"
11,"(""'coronaviruschile'"", 1289)"
12,"(""'covid19chile'"", 1179)"
13,"(""'coronavirusenchile'"", 1064)"
14,"(""'cuarentenatotal'"", 996)"
15,"(""'plancoronavirus'"", 977)"
16,"(""'pandemia'"", 811)"
17,"(""'covidー19chile'"", 787)"
18,"(""'covid2019'"", 710)"
19,"(""'iquique'"", 681)"
20,"(""'antofagasta'"", 652)"
21,"(""'yomequedoencasa'"", 617)"
22,"(""'covid2019chile'"", 585)"
23,"(""'quédateencasa'"", 545)"
24,"(""'cuidemonosentretodos'"", 507)"
25,"(""'quedateentucasa'"", 463)"
26,"(""'tarapacá'"", 442)"
27,"(""'ohiggins'"", 439)"
28,"(""'valdiviacl'"", 435)"
29,"(""'cuarentenatotalchile'"", 406)"
30,"(""'cuarentenacoronavirus'"", 376)"
31,"(""'cuarentenanacional'"", 363)"
32,"(""'viñadelmar'"", 333)"
33,"(""'toquedequeda'"", 323)"
34,"(""'altohospicio'"", 321)"
35,"(""'quedateenlacasa'"", 320)"
36,"(""'renunciapiñera'"", 290)"
37,"(""'yoapruebo'"", 283)"
38,"(""'laserena'"", 279)"
39,"(""'talca'"", 274)"
40,"(""'santiago'"", 266)"
41,"(""'mañalich'"", 261)"
42,"(""'rancagua'"", 260)"
43,"(""'bienvenidos13'"", 252)"
44,"(""'contigochv'"", 237)"
45,"(""'coronacrisis'"", 234)"
46,"(""'piñera'"", 228)"
47,"(""'renunciamañalich'"", 225)"
48,"(""'apruebo'"", 223)"
49,"(""'calama'"", 222)"
